 GamesPlayed, GamesWon, GamesLeft, Ditches, Points, Kills, KillsPerMin, Deaths, Assists, CreepsKilled, CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime, SkillLevel,Gender
0.000316957,0,0.025,0,0.254156598,0.000673911,0.547619048,0.000882976,0.000407095,0.000537128,2.28E-05,0.00020979,0,0,0.000636067,0,M
0.008240887,0.006802721,0.075,0,0.294869246,0.005307051,0.285714286,0.007829056,0.007560337,0.003593384,0.00118424,0.007948718,0.008073818,0.006134969,0.014889937,1,M
0.006022187,0.005668934,0,0,0.246359159,0.00459102,0.30952381,0.005180127,0.004623437,0.004702552,0.004623093,0.01037296,0.004229143,0.004382121,0.010963135,1,M
0,0,0,0,0.25977752,0.000168478,0.261904762,0.000529786,0.000145391,2.95E-05,2.28E-05,0.000606061,0,0,0.000189819,0,M
0.004120444,0.005668934,0.025,0,0.289346633,0.003622273,0.428571429,0.002413468,0.002907822,0.00275815,0.002915054,0.006270396,0.005382545,0.002629273,0.006211846,1,M
0.000316957,0,0.025,0,0.269742801,0.000421195,0.666666667,0.00023546,0.000232626,6.18E-05,0.000182191,0.00011655,0,0,0.000182599,0,F
0.008240887,0.006802721,0,0.222222222,0.214312098,0.003706512,0.166666667,0.011890746,0.008287293,0.00511614,0.007720337,0.011585082,0.003460208,0.002629273,0.016720581,1,M
0.00792393,0.009070295,0.125,0,0.117273853,0.005938843,0.357142857,0.006534024,0.005437627,0.007436532,0.006331132,0.01,0.010380623,0.014899211,0.012570189,1,M
0.022820919,0.022108844,0.075,0,0.308928779,0.017226855,0.333333333,0.018483636,0.022012213,0.014569586,0.012867228,0.021841492,0.016147636,0.023663453,0.040449081,1,M
0.000633914,0.001133787,0,0,0.274332931,0.001684778,0.80952381,0.001295032,0.000843268,0.00040016,0.000204965,0.00032634,0,0,0.001348761,0,M
0.037717908,0.034013605,0.175,0.055555556,0.208589254,0.038834134,0.452380952,0.038438898,0.028612969,0.036519306,0.018788431,0.06020979,0.041138024,0.040315513,0.066147969,1,M
0.002852615,0.002834467,0,0,0.2628764,0.002779884,0.428571429,0.002943254,0.002064554,0.002860204,0.003006149,0.001538462,0.002306805,0.000876424,0.004926202,1,F
0.004754358,0.003968254,0.025,0,0.235595846,0.003874989,0.333333333,0.005180127,0.004332655,0.002637297,0.002618993,0.006200466,0.000384468,0.000876424,0.008727234,1,F
0.033280507,0.02154195,0.025,0.055555556,0.211948362,0.01305703,0.166666667,0.034200612,0.020965397,0.015026145,0.00189023,0.023869464,0.020376778,0.019281332,0.058699623,0,F
0.000633914,0.000566893,0.025,0,0.283433678,0.000168478,0.119047619,0.001118437,0.000436173,0.000136968,0.000250512,6.99E-05,0.000384468,0,0.000775811,0,F
0.010142631,0.011337868,0.125,0,0.411501927,0.006275798,0.285714286,0.010183659,0.010031986,0.004791178,0.002755637,0.003379953,0.004229143,0.006134969,0.016552888,1,M
0.011093502,0.006235828,0.05,0,0.096211299,0.005686126,0.261904762,0.012714858,0.006629834,0.004173481,0.002732863,0.005897436,0.004998078,0,0.017111863,0,F
0.01933439,0.015873016,0,0,0.312355113,0.014952405,0.333333333,0.022957382,0.017243385,0.007753437,0.007720337,0.002773893,0.010380623,0.011393514,0.034398173,1,M
0.026941363,0.024376417,0,0,0.350890521,0.018532558,0.30952381,0.030138922,0.027013667,0.014867692,0.009496698,0.004009324,0.009611688,0.008764242,0.045633576,1,F
0.042155309,0.043650794,0.075,0,0.364733198,0.040139837,0.404761905,0.047092065,0.039488223,0.032627816,0.022250057,0.052400932,0.051134179,0.050832603,0.079200041,1,F
0.102060222,0.098072562,0.45,0.333333333,0.397427937,0.097548648,0.404761905,0.121085472,0.107007851,0.081764249,0.044044637,0.101142191,0.094963476,0.06485539,0.190939197,1,M
0.033280507,0.028911565,0,0.055555556,0.352704888,0.03066296,0.380952381,0.044325406,0.034690317,0.024170742,0.015759508,0.015034965,0.028066128,0.028045574,0.064345273,1,F
0.000633914,0.000566893,0,0,0.269742801,8.42E-05,0.047619048,0.001353897,0.000552486,0.000408217,2.28E-05,0.001048951,0.000384468,0,0.001390684,0,F
0.134706815,0.166099773,0.125,0.444444444,0.426139744,0.122609721,0.404761905,0.143218743,0.146641466,0.093809336,0.031632885,0.156923077,0.158785083,0.163891323,0.23799094,2,F
0.024088748,0.018707483,0.1,0.277777778,0.213415035,0.017690169,0.30952381,0.026312691,0.018580983,0.019570244,0.009997723,0.01958042,0.022299116,0.012269939,0.045885115,1,M
0.027575277,0.027777778,0,0.111111111,0.524267332,0.032137141,0.428571429,0.032611255,0.023844141,0.03215783,0.043361421,0.03965035,0.037293349,0.043821209,0.058028853,1,M
0.01141046,0.011337868,0,0,0.366048794,0.012804313,0.452380952,0.014186485,0.011573132,0.008298621,0.006194489,0.011981352,0.008842753,0.009640666,0.022226487,1,M
0.028209192,0.020408163,0.075,0,0.211612957,0.019332828,0.285714286,0.03255239,0.020645536,0.020195998,0.007401503,0.051258741,0.025759323,0.023663453,0.052313331,-1,M
